label	CRX	GFI1	MAZ	MEF2D	NDF1	NRL	RORB	RAX
chr1-4357766-4357930_CPPP_WT	2.297971902192529	0.187172009068971	2.2045016970533225e-08	1.4212290465117415e-06	3.064604061342995e-07	1.0015048252922703	0.023708474097152262	0.005755348582410166
chr1-4357766-4357930_CPPP_MUT-allCrxSites	0.23970816880570775	3.7831216917602605e-11	2.2045018231518618e-08	1.4212288212647868e-06	3.0646058941179023e-07	1.4119158859942833	0.023403042979037534	0.004416400304879639
chr1-73826292-73826456_CPPE_WT	2.2904273442594887	0.006397380173689006	0.005577724930256952	1.8158517327155307e-09	6.713634673291294e-07	0.9934179468177967	0.00029222692997821567	3.505732255549559e-06
chr1-73826292-73826456_CPPE_MUT-allCrxSites	0.2934102569556513	1.2037303899113985e-08	0.005577724931684078	6.33904724265593e-11	6.713631971669396e-07	0.9934135001599247	1.239630400558668e-07	1.6247833061010831e-06
chr11-87108697-87108861_CPPP_WT	2.7184697906050244	0.6025624151068865	2.744230021389152e-12	2.9860620532053737e-06	6.477337468895476e-07	0.04096544434096106	4.672925771542814e-05	0.19064091610911785
chr11-87108697-87108861_CPPP_MUT-allCrxSites	1.7425648366806943	0.6025624149145823	2.7449263220721857e-12	2.9860620524212177e-06	6.477338178965299e-07	0.04096563860724904	4.671125355881234e-05	0.19064091611488107
chr11-87577889-87578053_CPPP_WT	4.533568832932748	0.0002069350248068848	0.0002655684292385449	8.755570468043074e-11	0.013737025813914117	0.006327168225958595	0.00013220631527830984	0.7975015157433795
chr11-87577889-87578053_CPPP_MUT-allCrxSites	1.584171255699932	4.173213068412055e-11	0.00026556873410004496	8.712781145149861e-11	0.01373702581026855	0.0038827192830557656	0.000131839514563358	0.7974978830887693
chr11-88187269-88187433_CPPP_WT	3.513387933321766	0.33800483940210224	5.299202761522892e-07	2.4252489002394988e-11	1.490773271555876	0.0030817092489065327	5.218396842091483e-05	0.9306502553795961
chr11-88187269-88187433_CPPP_MUT-allCrxSites	1.5505490896704257	7.913169254378025e-10	5.299204315369582e-07	5.263324869892003e-11	1.4907732715561424	0.003079237830724453	5.217727246098864e-05	0.9302161405319189
