label	expression	expression_std	expression_reps	expression_pvalue	expression_qvalue
chr1-104768570-104768734_UPCQ_MUT-allCrxSites	3.027743876435533	0.3304822997629895	3.0	0.0001387399205755027	0.000749351458658923
chr1-104768570-104768734_UPCQ_WT	3.6066207766714373	0.29741176122643087	3.0	0.001205961076097966	0.0035477692122416905
chr1-106008207-106008371_CPPE_MUT-allCrxSites	3.3366040986708576	0.39628434979136584	3.0	0.003038664714738626	0.007388397209786836
chr1-106008207-106008371_CPPE_WT	2.068611271247828	0.9446642457273977	3.0	0.08058340640186154	0.10324212008895214
chr1-106171416-106171580_CSPE_scrambled	1.4395868850256412	0.5792772429540989	3.0	0.2797303871487041	0.3129308752673541
chr1-106696554-106696718_CPPE_MUT-allCrxSites	2.498705959303456	0.12768737229734756	3.0	0.00025732949183585973	0.001136932782403472
chr1-106696554-106696718_CPPE_WT	8.2612012834564	1.3177193347647378	3.0	7.73325503602744e-06	0.00021739039156832692
chr1-118321635-118321799_CPPP_MUT-allCrxSites	0.8263954359133149	0.1595352683160594	3.0	0.09216662084291691	0.11613235816301483
chr1-118321635-118321799_CPPP_WT	1.3681481640307285	0.3978347370749595	3.0	0.16686132579985402	0.19601720261972097
chr1-118589610-118589774_UPCE_MUT-allCrxSites	0.9579164913952525	0.26705595952239497	3.0	0.5877542737697821	0.6180999330587054
chr1-118589610-118589774_UPCE_WT	0.18499322912491478	0.07774159548059757	3.0	0.019478466419349433	0.03196756165169434
chr1-119646428-119646592_CPPE_MUT-allCrxSites	0.9378660731378684	0.3328433768602601	3.0	0.6014855621064573	0.6311593750372714
chr1-119646428-119646592_CPPE_WT	6.889830750459931	0.6578286934998172	3.0	7.195699827802962e-05	0.0004969788659805867
chr1-119837093-119837257_UPPP_MUT-allCrxSites	0.1407921918336817	0.06754408861082771	3.0	0.009601740222238484	0.018396000497529052
chr1-119837093-119837257_UPPP_WT	0.32742939598480747	0.35365410980766354	3.0	0.09720868118751667	0.12165637346222147
chr1-119904943-119905107_CPPE_MUT-allCrxSites	0.021185567408943087	0.016005102291243502	3.0	0.006431912362255643	0.013507296952976354
chr1-119904943-119905107_CPPE_WT	0.4962269116685907	0.16209311180635488	3.0	0.0736255227820835	0.09536995096024667
chr1-126766376-126766540_UPRE_MUT-allCrxSites	0.20586575597062162	0.10553758029729225	3.0	0.016073733547753922	0.027654415592001824
chr1-126766376-126766540_UPRE_WT	0.17114093887957363	0.10071984937946087	3.0	0.02137788955350976	0.034519151858824794
chr1-128102684-128102848_CSPP_MUT-shape	1.625439686587187	0.7200330386692954	3.0	0.17067685707231559	0.20001064162521234
chr1-128102684-128102848_CSPP_WT	1.5726500941159565	0.6860454105587346	3.0	0.2742318475177877	0.3072086905192275
chr1-128102684-128102848_CSPP_scrambled	1.01487738683695	0.15662434700144612	3.0	0.9792713901345159	0.9825417600452135
chr1-131078792-131078956_CPPE_MUT-allCrxSites	1.988852103431465	0.7666828453829415	3.0	0.07011360772499754	0.09143681832177515
chr1-131078792-131078956_CPPE_WT	5.981409741985029	0.5225352635074857	3.0	0.00043759227530457877	0.0016472247982686845
chr1-131078792-131078956_CPPE_scrambled	4.1032937878457725	0.5994080212977659	3.0	0.002972784109253526	0.007290904700602908
chr1-131910343-131910507_CSPP_MUT-shape	1.9396263880382953	0.4524641209682	3.0	0.005648894363030242	0.01212784064452272
chr1-131910343-131910507_CSPP_WT	2.381455213099021	0.49551630347998205	3.0	0.0015579484263553926	0.00434904650725341
chr1-132064989-132065153_UPPN_MUT-allCrxSites	0.9911295910601057	0.330181272455661	3.0	0.7460092902272111	0.7690471066099515
chr1-132064989-132065153_UPPN_WT	0.9499126182894914	0.4520683749601268	3.0	0.5901474748499556	0.6202096439885738
chr1-132303608-132303772_UPPE_MUT-allCrxSites	0.3949791358465073	0.10988069062246549	3.0	0.018735251732761568	0.030937944032767044
chr1-132303608-132303772_UPPE_WT	0.1635900143278257	0.12188645264006283	3.0	0.03286324309997932	0.04868216011759648
chr1-132367013-132367177_CPPP_MUT-allCrxSites	0.7587533406461654	0.19753998407010814	3.0	0.13254812792818485	0.1597690197970874
chr1-132367013-132367177_CPPP_WT	7.575955126811581	1.0713449009599907	3.0	1.4190098428500994e-05	0.0002352131142958768
chr1-132414110-132414274_CPPE_MUT-allCrxSites	0.36840427453817687	0.15016402943498938	3.0	0.02081541992263854	0.033724207471561664
chr1-132414110-132414274_CPPE_WT	0.007808104203195404	0.009707238482467014	3.0	0.009580839228663015	0.018370599988904314
chr1-133042650-133042814_CPRN_MUT-allCrxSites	1.3478750209575054	0.05776329702722975	3.0	0.011650174779615758	0.021350510928560027
chr1-133042650-133042814_CPRN_WT	0.05502477966866415	0.015692211819116116	3.0	0.00205801628681265	0.005441630522941919
chr1-133661350-133661514_CSPP_scrambled	0.49297395518075665	0.19273422102116508	3.0	0.03665939508447486	0.05314285650514797
chr1-133893675-133893839_UPCE_MUT-allCrxSites	3.2190814372024934	0.3075917692141519	3.0	0.0011740348238119256	0.0034901579456177653
chr1-133893675-133893839_UPCE_WT	3.269646962488803	0.9819830949249	3.0	0.028211076543406106	0.04314688035130549
chr1-134086973-134087137_CPPE_MUT-allCrxSites	1.6860222587335887	0.44915349148401473	3.0	0.028588034254889365	0.04354330819494714
chr1-134086973-134087137_CPPE_WT	4.400157896357125	0.13291473077459906	3.0	7.483251128735695e-05	0.0005003058160755561
chr1-134272950-134273114_CPPE_MUT-allCrxSites	0.1348545502955126	0.028952666622659967	3.0	0.0038431405240654123	0.008963598495479107
chr1-134272950-134273114_CPPE_WT	0.0	0.0	3.0	NaN	NaN
chr1-134420610-134420774_CPPE_MUT-allCrxSites	2.3665924602947532	0.23135665321347723	3.0	0.0007394362674634963	0.002437908187720869
chr1-134420610-134420774_CPPE_WT	2.029751594143134	0.33161673659143	3.0	0.0005600347605651255	0.001975118924458223
chr1-134491438-134491602_CPNE_MUT-allCrxSites	1.9691810502572122	0.30945520911295227	3.0	0.0006907315773228692	0.002313830447519883
chr1-134491438-134491602_CPNE_WT	2.171587673011206	0.24616495908495462	3.0	0.004211959475424456	0.009627622062941208
chr1-134491438-134491602_CPNE_scrambled	0.9317546798797637	0.11204199482275623	3.0	0.5750349812270328	0.6061827093768304
chr1-135375289-135375453_UPPP_MUT-allCrxSites	1.1869718197628132	0.18563906932479027	3.0	0.1455182039725497	0.17353163148004125
chr1-135375289-135375453_UPPP_WT	1.0298136545945886	0.2725319196333145	3.0	0.9808940543129328	0.9837591736036445
chr1-135627907-135628071_CPPN_MUT-allCrxSites	1.2657742491776056	0.2991534464913852	3.0	0.10803499680108358	0.133330996052069
chr1-135627907-135628071_CPPN_WT	0.336741229283349	0.02417792508000777	3.0	0.0006254594789958558	0.002138395245756101
chr1-135793436-135793600_CPPE_MUT-allCrxSites	5.882633546895643	0.38182360280835537	3.0	0.00010674620030603989	0.0006390149251197183
chr1-135793436-135793600_CPPE_WT	16.740371307154348	1.4267723067507347	3.0	3.5419248848068594e-06	0.0002270137722835543
chr1-136007979-136008143_CPPP_MUT-allCrxSites	0.6381756507246589	0.07526441927797924	3.0	0.03436096892116329	0.05025043431823302
chr1-136007979-136008143_CPPP_WT	0.5940951696449531	0.17728316889392698	3.0	0.0969076253651377	0.12150103159369245
chr1-136140231-136140395_CSPP_MUT-shape	7.641390427445359	0.10894003714991249	3.0	8.783398003073494e-06	0.00021652202154243222
chr1-136140231-136140395_CSPP_WT	9.998405296980854	3.0131724402135127	3.0	0.0007347499726910192	0.0024274523152754152
chr1-137926402-137926566_CPPE_MUT-allCrxSites	1.1084795067079616	0.1871777787032609	3.0	0.6081649142160311	0.6380289704575429
chr1-137926402-137926566_CPPE_WT	0.9498985007085716	0.20866609451740878	3.0	0.5972822738922676	0.6271594343818546
chr1-150312783-150312947_CPPE_MUT-allCrxSites	1.3040888191501434	0.111766159678114	3.0	0.06628644663268282	0.08727443137861034
chr1-150312783-150312947_CPPE_WT	0.8781060148753227	0.25828214338715144	3.0	0.39273178041617857	0.4277955287696738
chr1-150322339-150322503_CPPP_MUT-allCrxSites	0.11469979617972821	0.04078410393200466	3.0	0.0022393041393759753	0.005796626277856927
chr1-150322339-150322503_CPPP_WT	0.005169632656311076	0.003929569115091999	3.0	0.004515131097553778	0.010175450157496957
chr1-150329669-150329833_CPPP_MUT-allCrxSites	0.20715836905856663	0.06944639981609897	3.0	0.012708376801008442	0.02290557453410108
chr1-150329669-150329833_CPPP_WT	0.4796346339023814	0.15033051276847084	3.0	0.028198647813150617	0.0431553327086326
chr1-150393010-150393174_CBPP_MUT-shape	3.9727095803580728	0.46583779856815327	3.0	0.0025276884283448164	0.006388327168797861
chr1-150393010-150393174_CBPP_WT	6.518938115646701	2.0186749256514225	3.0	0.006081383168778261	0.01290079827551505
chr1-150393010-150393174_CBPP_scrambled	0.10601102525764976	0.07613967743230284	3.0	0.017881929683892735	0.029888190539107226
chr1-151344227-151344391_UPPP_MUT-allCrxSites	5.2486887490442315	0.5737917080953729	3.0	7.275947007037768e-05	0.000498226171835193
chr1-151344227-151344391_UPPP_WT	3.418323837680403	0.25373291374505363	3.0	0.0001988060524763787	0.0009556606942539524
chr1-152745969-152746133_UPPE_MUT-allCrxSites	5.0787652392008775	0.20535219959848666	3.0	2.941865978966455e-05	0.0003185033729930574
chr1-152745969-152746133_UPPE_WT	9.426478186633254	1.2039643936298996	3.0	1.3494052916332813e-05	0.0002316639727457565
chr1-155111753-155111917_CPPE_MUT-allCrxSites	0.6834514420282692	0.12725480114526758	3.0	0.008729795452009838	0.0170863708215844
chr1-155111753-155111917_CPPE_WT	0.0	0.0	3.0	NaN	NaN
chr1-155249959-155250123_UPCE_MUT-allCrxSites	3.109405736122365	0.33353525397851386	3.0	0.00013510272860144324	0.0007371609720625853
chr1-155249959-155250123_UPCE_WT	8.515737570759486	1.4074732070394314	3.0	7.276017970904046e-06	0.0002159001134946651
chr1-156179894-156180058_UPCE_MUT-allCrxSites	1.1385590511512484	0.8294946882218288	3.0	0.8240582464967735	0.8406723240471117
chr1-156179894-156180058_UPCE_WT	1.3787962260529574	0.31627627755606674	3.0	0.11742790510226982	0.14345004824056187
chr1-157306846-157307010_UPRE_MUT-allCrxSites	1.2196216126118837	0.2810640081699189	3.0	0.31188873645321924	0.34640692147195584
chr1-157306846-157307010_UPRE_WT	6.537461465133359	0.6399928500909563	3.0	0.00042841744505079244	0.0016241345886113243
chr1-157380933-157381097_CPPE_MUT-allCrxSites	3.868542118927392	0.3511407354299362	3.0	0.0008333578614894957	0.0026813595985140603
chr1-157380933-157381097_CPPE_WT	16.158545504752915	1.570442075159777	3.0	3.4992582701304085e-06	0.0002336240903405121
chr1-158355777-158355941_UPCP_MUT-allCrxSites	1.1647797437473308	0.3951844418879283	3.0	0.7391617683552553	0.762806058498006
chr1-158355777-158355941_UPCP_WT	0.945727104488447	0.14615838929186037	3.0	0.6427699777328726	0.6714027125080223
chr1-158546627-158546791_CPCN_MUT-allCrxSites	4.06539900039476	0.5677879982486581	3.0	3.995927825459633e-05	0.0003576987906328576
chr1-158546627-158546791_CPCN_WT	0.8193664520676481	0.20041871439083173	3.0	0.12483802404208154	0.15134839383865978
chr1-16053660-16053824_CPPN_MUT-allCrxSites	0.5543124581406258	0.34646082836571773	3.0	0.12223637771827621	0.14868174789771096
chr1-16053660-16053824_CPPN_WT	0.0	0.0	3.0	NaN	NaN
chr1-16053660-16053824_CPPN_scrambled	0.5403646058214768	0.12484666256785854	3.0	0.0054678896645986306	0.011834374433915181
chr1-160741382-160741546_UPPN_MUT-allCrxSites	1.1102678524140674	0.283017213853836	3.0	0.7580890411282339	0.7799944393628897
chr1-160741382-160741546_UPPN_WT	0.22099361399752201	0.04896023723692678	3.0	0.002857321771134764	0.007065404194364614
chr1-163779410-163779574_CPPN_MUT-allCrxSites	4.798999291667311	0.5981384059302025	3.0	6.849672088248884e-05	0.0004806769887330275
chr1-163779410-163779574_CPPN_WT	3.5097275979573226	0.6979512370947543	3.0	0.00022764749472208885	0.0010461773490717792
chr1-163929687-163929851_CSPP_scrambled	0.3163321685561192	0.1628018124086396	3.0	0.028682772664598857	0.04361850306824635
chr1-166003311-166003475_CPPP_MUT-allCrxSites	5.842496844351888	2.0481409747457944	3.0	0.014808708557282578	0.025913892258775884
chr1-166003311-166003475_CPPP_WT	4.3565527174940994	1.9014265230523135	3.0	0.013982342022395648	0.02471070518443231
chr1-167385671-167385835_UPCN_MUT-allCrxSites	1.0324190196603378	0.25127256834421374	3.0	0.9262254602344288	0.9347818155252781
chr1-167385671-167385835_UPCN_WT	1.1569399124223632	0.2253136764294436	3.0	0.1873309382582768	0.2174595074154882
chr1-168284956-168285120_UPCE_MUT-allCrxSites	2.541859000656444	0.558476376211741	3.0	0.003351128622821273	0.008014365815871572
chr1-168284956-168285120_UPCE_WT	2.5791305844452386	0.48276911969655034	3.0	0.00025262441183872123	0.00112337238455942
chr1-170867720-170867884_CPPP_MUT-allCrxSites	1.5889693320615426	0.4863199353799689	3.0	0.14313607420532243	0.17107287635628665
chr1-170867720-170867884_CPPP_WT	1.0892154622801045	0.15200098264598583	3.0	0.3270483145631537	0.36090937743459134
chr1-171247161-171247325_CSPP_scrambled	0.1754785815272669	0.07892068209219479	3.0	0.008660111714978493	0.016991492658735355
chr1-171502725-171502889_UPRE_MUT-allCrxSites	2.479719569399371	0.2765991332072425	3.0	0.00037171214062683245	0.0014730587469028718
chr1-171502725-171502889_UPRE_WT	3.014313659333164	0.6697790962947415	3.0	0.0005831793258641547	0.0020314079850934723
chr1-172126243-172126407_UPPP_MUT-allCrxSites	1.854452641091477	0.5069229525241201	3.0	0.07303273500404413	0.09462758953219409
chr1-172126243-172126407_UPPP_WT	1.650164266335904	0.4136197260290301	3.0	0.1233804524888813	0.14984584009955848
chr1-172202745-172202909_CPPP_MUT-allCrxSites	5.691740216189442	0.7951436896356109	3.0	1.663198072703081e-05	0.00025141487847433054
chr1-172202745-172202909_CPPP_WT	6.190591562144234	0.6875688498607285	3.0	0.0002381243950031194	0.0010849895419715592
chr1-177003036-177003200_CPPE_MUT-allCrxSites	0.0	0.0	3.0	NaN	NaN
chr1-177003036-177003200_CPPE_WT	1.297511081343047	0.3489280730462822	3.0	0.21328602998381824	0.24451847033918778
chr1-177299685-177299849_CPPE_MUT-allCrxSites	0.958082881726921	0.3896132475026066	3.0	0.6917350720921822	0.7184897345607433
chr1-177299685-177299849_CPPE_WT	0.4019838856428697	0.1465888461248804	3.0	0.01997387028817295	0.032691315790005906
chr1-177983157-177983321_CSPP_MUT-shape	1.6165565691174646	0.42265263328269104	3.0	0.06368181974015147	0.08444648482507809
chr1-177983157-177983321_CSPP_WT	1.796230902993531	0.5366332031980419	3.0	0.03482727081391645	0.05083956598921846
chr1-179586526-179586690_UPPE_MUT-allCrxSites	4.233467957760902	0.1495803212551469	3.0	3.4838293972657585e-05	0.00034177077372768373
chr1-179586526-179586690_UPPE_WT	6.264190966687089	3.5511856369061503	3.0	0.028582921944052382	0.04354932037561325
